id,reference,status,title.en,secretariat.id,secretariat.acronym,creationDate,scope.en,parentId,childrenId,pMembers.id,pMembers.acronym,oMembers.id,oMembers.acronym,committeeLiaisons.id,committeeLiaisons.reference,organizationLiaisons.id,organizationLiaisons.acronym,sortKey
46450,ISO/TC 17/SC 17,Active,Steel wire rod and wire products,1635,SAC,1980-07-30,"<p>The development and maintenance of product standards and related standards for steel wire rod, wire and wire products, except stainless steels.</p> <p>Standardization of grades and properties of wire rod (excluded are those for special purposes, e. g. qualities standardized by ISO/TC 17/SC 4 and ISO/TC44/SC 3).</p> <p>Standardization of wires and wire products in so far as they are only used in that product form (excluded are those for special purposes ,e. g. steel wire ropes which are standardized in ISO /TC 105).</p> <p>Testing standards for wire rod and wire (excluded are general testing standards e. g. standards of ISO/TC 164)</p>",46232,,"[1511, 1529, 1561, 1635, 1717, 1738, 1794, 1803, 1823, 1835, 1854, 2027, 2045, 2054, 2064, 2101, 2106, 2110, 2133, 2176, 308866]","[DIN, ASI, NBN, SAC, UNE, AFNOR, BIS, INSO, UNI, JISC, KEBS, NEN, PKN, IPQ, BSI, SIS, SNV, UNMS SR, UNMZ, GOST R, UNBS]","[1485, 1520, 1663, 1734, 1776, 1784, 2058, 2091, 2120, 2139, 2209]","[SABS, IRAM, KATS, SFS, ILNAS, MSZT, ASRO, SLSI, TBS, TISI, ISS]","[46358, 51196, 53554, 51384, 51358, 46232, 48610, 46436]","[ISO/TC 17/SC 4, ISO/TC 105, ISO/TC 164/SC 1, ISO/TC 107/SC 4, ISO/TC 107, ISO/TC 17, ISO/TC 44/SC 3, ISO/TC 17/SC 16]","[9563, 9565]","[IIW, World Steel Association]",ISO/TC 017/~SC 017
46464,ISO/TC 17/SC 19,Active,Technical delivery conditions for steel tubes for pressure purposes,1823,UNI,1981-01-31,"Maintenance of existing ISO Standards and preparation of new ISO Standards for technical delivery conditions for steel tubes for pressure purposes, in liaison with ISO/TC 5 and ISO/TC 11. Excluded from this area of work are all other standards for tubes whatever their use and particularly the standards related to ISO/TC 67 and the standards on tubes for transportation of water, gas and sewage.",46232,,"[1511, 1520, 1529, 1579, 1635, 1738, 1784, 1794, 1803, 1823, 1835, 2027, 2045, 2064, 2101, 2176]","[DIN, IRAM, ASI, ABNT, SAC, AFNOR, MSZT, BIS, INSO, UNI, JISC, NEN, PKN, BSI, SIS, GOST R]","[1485, 1561, 1663, 1700, 1717, 1734, 2058, 2106, 2110, 2133, 2209]","[SABS, NBN, KATS, EOS, UNE, SFS, ASRO, SNV, UNMS SR, UNMZ, ISS]","[49506, 52432, 52398, 45594]","[ISO/TC 67, ISO/TC 135/SC 7, ISO/TC 135, ISO/TC 5/SC 1]",,,ISO/TC 017/~SC 019
46470,ISO/TC 17/SC 20,Active,"General technical delivery conditions, inspection documents and sampling for mechanical testing",2101,SIS,1986-05-23,"Standardization of general technical delivery conditions, inspection documents and general rules for selection and preparation of samples and test pieces for mechanical testing of wrought steels.",46232,,"[1511, 1529, 1561, 1635, 1663, 1717, 1734, 1738, 1776, 1784, 1794, 1803, 1823, 1835, 2027, 2064, 2101, 2176]","[DIN, ASI, NBN, SAC, KATS, UNE, SFS, AFNOR, ILNAS, MSZT, BIS, INSO, UNI, JISC, NEN, BSI, SIS, GOST R]","[1485, 1520, 1965, 2045, 2058, 2106, 2110, 2133, 2168, 2172]","[SABS, IRAM, MASM, PKN, ASRO, SNV, UNMS SR, UNMZ, TSE, SE UkrNDNC]","[53558, 53554, 53556]","[ISO/TC 164/SC 3, ISO/TC 164/SC 1, ISO/TC 164/SC 2]",[3182],[EC - European Commission],ISO/TC 017/~SC 020
9712400,ISO/TC 17/SC 21,Active,Environment related to climate change in the iron and steel industry,1835,JISC,2023-04-17,Standardization in the field of environment related to climate change such as low carbon process in the iron and steel industry.,46232,,"[1485, 1511, 1520, 1524, 1529, 1561, 1635, 1663, 1734, 1738, 1776, 1803, 1823, 1835, 1854, 1994, 2027, 2045, 2054, 2064, 2101, 2106]","[SABS, DIN, IRAM, SA, ASI, NBN, SAC, KATS, SFS, AFNOR, ILNAS, INSO, UNI, JISC, KEBS, SN, NEN, PKN, IPQ, BSI, SIS, SNV]","[1717, 1931, 2058, 2110, 308866]","[UNE, IMANOR, ASRO, UNMS SR, UNBS]","[46450, 546318, 6266669, 54854]","[ISO/TC 17/SC 17, ISO/TC 207/SC 7, ISO/TC 308, ISO/TC 207/SC 5]","[9513, 9565]","[IEA - énergie, World Steel Association]",ISO/TC 017/~SC 021
46474,ISO/TC 18,Suspended,Zinc and zinc alloys,1561,NBN,1947-01-01,"Standardization of definitions, classifications, quality, sampling and acceptance tests of zinc and zinc alloys, as well as of zinc alloy castings.",,,"[1511, 1561, 1635, 1657, 1663, 1734, 1738, 1794, 1823, 1835, 1848, 2045, 2064]","[DIN, NBN, SAC, CSK, KATS, SFS, AFNOR, BIS, UNI, JISC, CTRM, PKN, BSI]","[1485, 1520, 1529, 1597, 1629, 1680, 1759, 1784, 1798, 1803, 1854, 2017, 2058, 2158, 2168, 2176, 2188, 2209, 308878]","[SABS, IRAM, ASI, BDS, INN, HZN, NQIS ELOT, MSZT, BSN, INSO, KEBS, PSQCA, ASRO, INNORPI, TSE, GOST R, ANSI, ISS, O'ZTTSA]",,,"[3182, 8833, 9050]","[EC - European Commission, WCO, UNESCAP]",ISO/TC 018
46482,ISO/TC 19,Suspended,Preferred numbers,1738,AFNOR,1947-01-01,"Standardization in the field of selection of numbers, including preferred series, and coordinating principles, with the intention of providing a structure for varieties based on economic calculation to take full advantage of the series effects and to promote harmonization and compatibility at the interfaces.",,,"[1511, 1635, 1738, 2133]","[DIN, SAC, AFNOR, UNMZ]","[1734, 1794, 2045, 2058, 2139, 2172, 308878]","[SFS, BIS, PKN, ASRO, TISI, SE UkrNDNC, O'ZTTSA]",,,,,ISO/TC 019
46484,ISO/TC 20,Active,Aircraft and space vehicles,2188,ANSI,1947-01-01,"Standardization of materials, components and equipment for construction and operation of aircraft and space vehicles as well as equipment used in the servicing and maintenance of these vehicles.",,"[46506,46538,46562,46564,46570,46612,46614,5336224,5396202,6207117,46560]","[1511, 1579, 1635, 1704, 1725, 1734, 1738, 1794, 1803, 1823, 1835, 1848, 2064, 2106, 2172, 2176, 2188]","[DIN, ABNT, SAC, MoIAT-STR, IES, SFS, AFNOR, BIS, INSO, UNI, JISC, CTRM, BSI, SNV, SE UkrNDNC, GOST R, ANSI]","[1520, 1524, 1529, 1555, 1561, 1597, 1663, 1690, 1696, 1717, 1770, 1776, 1784, 1798, 1954, 1965, 1998, 2017, 2027, 2031, 2045, 2058, 2101, 2133, 2158, 2168, 2209, 308878]","[IRAM, SA, ASI, BELST, NBN, BDS, KATS, AZSTAND, DS, UNE, ITCHKSAR, ILNAS, MSZT, BSN, DGN, MASM, NZSO, PSQCA, NEN, DGNTI, PKN, ASRO, SIS, UNMZ, INNORPI, TSE, ISS, O'ZTTSA]","[53896, 52662, 6794475, 6209515, 54560, 624837, 600189, 5915511, 6266604, 51402, 7203984, 48474, 52398, 629086, 6483279, 45544]","[ISO/TC 176/SC 2, ISO/TC 145, ISO/IEC JTC 1/SC 42, null, ISO/TC 197, ISO/TC 258, null, ISO/TC 299, ISO/TC 307, ISO/TC 108, ISO/TC 323, ISO/TC 43/SC 1, ISO/TC 135, ISO/TC 261, ISO/IEC JTC 1/SC 41, ISO/TC 4]","[3182, 8762, 8833, 9073, 5122877]","[EC - European Commission, ASD-STAN, WCO, EUROCAE, WFEO]",ISO/TC 020
46506,ISO/TC 20/SC 1,Active,Aerospace electrical requirements,1635,SAC,1983-09-30,"ISO/TC20/SC1 engages in the preparation of international standards related to the generation, control and distribution of electrical energy, including associated materials and components, for civil aircraft, and aerospace application.",46484,,"[1511, 1635, 1696, 1738, 1794, 1835, 1998, 2064, 2172, 2176]","[DIN, SAC, DS, AFNOR, BIS, JISC, NZSO, BSI, SE UkrNDNC, GOST R]","[1597, 1663, 1803, 1823, 1848, 2027, 2045, 2058, 2101, 2133, 2209]","[BDS, KATS, INSO, UNI, CTRM, NEN, PKN, ASRO, SIS, UNMZ, ISS]","[45306, 5336224]","[ISO/IEC JTC 1/SC 27, ISO/TC 20/SC 16]","[8762, 8928, 9073]","[ASD-STAN, CIE, EUROCAE]",ISO/TC 020/~SC 001
46538,ISO/TC 20/SC 4,Active,Aerospace fastener systems,1511,DIN,1984-01-11,,46484,,"[1511, 1635, 1700, 1738, 1794, 1823, 1835, 1848, 2064, 2172, 2176]","[DIN, SAC, EOS, AFNOR, BIS, UNI, JISC, CTRM, BSI, SE UkrNDNC, GOST R]","[1663, 1803, 2027, 2045, 2058, 2101, 2133, 2209]","[KATS, INSO, NEN, PKN, ASRO, SIS, UNMZ, ISS]",[47562],[ISO/TC 29/SC 10],[8762],[ASD-STAN],ISO/TC 020/~SC 004
46560,ISO/TC 20/SC 6,Active,Standard atmosphere,2176,GOST R,1980-08-20,,46484,,"[1635, 1794, 1965, 2064, 2172, 2176]","[SAC, BIS, MASM, BSI, SE UkrNDNC, GOST R]","[1511, 1524, 1663, 1738, 1803, 1848, 2027, 2045, 2058, 2133]","[DIN, SA, KATS, AFNOR, INSO, CTRM, NEN, PKN, ASRO, UNMZ]",,,"[8984, 9236, 9801, 6412349]","[COSPAR, ICAO, WMO, CalConnect]",ISO/TC 020/~SC 006
46562,ISO/TC 20/SC 8,Active,Aerospace terminology,2176,GOST R,1988-04-11,"<p>Standardization of terminology used in aerospace industry, as well as the terms used for aerospace components and equipment for construction and operation of aircraft and space vehicles and equipment used in the servicing and maintenance of these vehicles.",46484,,"[1489, 1511, 1635, 1663, 1700, 1738, 1794, 1803, 1965, 2064, 2176]","[ARMSTANDARD, DIN, SAC, KATS, EOS, AFNOR, BIS, INSO, MASM, BSI, GOST R]","[1848, 2027, 2045, 2058, 2133, 2172]","[CTRM, NEN, PKN, ASRO, UNMZ, SE UkrNDNC]",[48104],[ISO/TC 37],"[8984, 9236, 9801]","[COSPAR, ICAO, WMO]",ISO/TC 020/~SC 008
46564,ISO/TC 20/SC 9,Active,Air cargo and ground equipment,1738,AFNOR,1981-01-01,"<p>Develop and publish International Standards, Technical Reports or Publicly Available Specifications, as appropriate, in the fields of:</p><p><ul><li>Air cargo appliances designed and used to be flown aboard civil transport aircraft, including unit load devices and on board cargo systems;</li><li>Ground servicing of aircraft, including towing, catering, de-icing and air conditioning;</li><li>Ground handling of passengers, baggage, and cargo on airport ramps.</li></p></ul>",46484,,"[1511, 1635, 1696, 1717, 1734, 1738, 1794, 2027, 2064, 2078, 2101, 2176, 2188, 299538]","[DIN, SAC, DS, UNE, SFS, AFNOR, BIS, NEN, BSI, SSMO, SIS, GOST R, ANSI, SIST]","[1529, 1663, 1700, 1784, 1803, 1823, 1835, 2045, 2058, 2133, 2172, 2209]","[ASI, KATS, EOS, MSZT, INSO, UNI, JISC, PKN, ASRO, UNMZ, SE UkrNDNC, ISS]","[51600, 52662, 54560, 5396202, 54706]","[ISO/TC 110/SC 2, ISO/TC 145, ISO/TC 197, ISO/TC 20/SC 17, ISO/TC 204]","[8762, 9226, 9236, 637840]","[ASD-STAN, IATA, ICAO, SAE]",ISO/TC 020/~SC 009
46570,ISO/TC 20/SC 10,Active,Aerospace fluid systems and components,1511,DIN,1980-01-31,<p>Standardization in the field of developing and maintaining standards in the area of aerospace fluid systems and components.,46484,,"[1511, 1635, 1700, 1738, 1794, 1835, 1965, 2064, 2168, 2172, 2176, 2188]","[DIN, SAC, EOS, AFNOR, BIS, JISC, MASM, BSI, TSE, SE UkrNDNC, GOST R, ANSI]","[1663, 1803, 1823, 1848, 2017, 2027, 2045, 2058, 2101, 2133, 2209]","[KATS, INSO, UNI, CTRM, PSQCA, NEN, PKN, ASRO, SIS, UNMZ, ISS]","[52232, 52250, 52312, 52300, 52330, 52254, 52266]","[ISO/TC 131, ISO/TC 131/SC 2, ISO/TC 131/SC 7, ISO/TC 131/SC 6, ISO/TC 131/SC 8, ISO/TC 131/SC 3, ISO/TC 131/SC 4]",[8762],[ASD-STAN],ISO/TC 020/~SC 010
46612,ISO/TC 20/SC 13,Active,Space data and information transfer systems,2188,ANSI,1990-02-20,,46484,,"[1511, 1579, 1635, 1734, 1738, 1794, 1823, 1835, 2064, 2101, 2172, 2176, 2188]","[DIN, ABNT, SAC, SFS, AFNOR, BIS, UNI, JISC, BSI, SIS, SE UkrNDNC, GOST R, ANSI]","[1520, 1529, 1561, 1640, 1663, 1776, 1803, 1848, 1994, 2027, 2041, 2045, 2058, 2133]","[IRAM, ASI, NBN, CYS, KATS, ILNAS, INSO, CTRM, SN, NEN, BPS, PKN, ASRO, UNMZ]","[48798, 48856, 54904, 54998]","[ISO/TC 46/SC 4, ISO/TC 46/SC 11, ISO/TC 211, null]","[9301, 10071]","[CCSDS, ESA]",ISO/TC 020/~SC 013
46614,ISO/TC 20/SC 14,Active,Space systems and operations,2188,ANSI,1992-11-25,"<p>Standardization of crewed and uncrewed space systems that include management of space programmes, design, production, verification, launch, operations, maintenance, and disposal of space systems, end user applications and services, and for the environment in which the space programmes operate.",46484,,"[1511, 1524, 1579, 1635, 1717, 1734, 1738, 1759, 1794, 1823, 1835, 2058, 2064, 2101, 2172, 2176, 2188]","[DIN, SA, ABNT, SAC, UNE, SFS, AFNOR, NQIS ELOT, BIS, UNI, JISC, ASRO, BSI, SIS, SE UkrNDNC, GOST R, ANSI]","[1520, 1529, 1640, 1663, 1776, 1803, 1815, 1848, 1998, 2027, 2041, 2045, 2106]","[IRAM, ASI, CYS, KATS, ILNAS, INSO, NSAI, CTRM, NZSO, NEN, BPS, PKN, SNV]","[54560, 6207117, 53882, 600189, 629121, 54706, 45086, 46612, 54904, 5336224]","[ISO/TC 197, ISO/TC 20/SC 18, ISO/TC 176, null, ISO/TC 262, ISO/TC 204, ISO/IEC JTC 1/SC 7, ISO/TC 20/SC 13, ISO/TC 211, ISO/TC 20/SC 16]","[3182, 8762, 8833, 8984, 9083, 9301, 9345, 9657, 10071]","[EC - European Commission, ASD-STAN, WCO, COSPAR, ECSS, CCSDS, IAA - astronautics, ITU, ESA]",ISO/TC 020/~SC 014
5336224,ISO/TC 20/SC 16,Active,Uncrewed aircraft system,2188,ANSI,2014-08-15,"Standardization in the field of advanced air mobility and uncrewed aircraft systems (UAS), including but not limited to classification, design, manufacture, operation (including maintenance), and safety management.",46484,,"[1511, 1524, 1529, 1561, 1619, 1635, 1663, 1696, 1704, 1717, 1734, 1738, 1794, 1803, 1823, 1835, 2027, 2058, 2064, 2101, 2106, 2139, 2168, 2172, 2176, 2188]","[DIN, SA, ASI, NBN, SCC, SAC, KATS, DS, MoIAT-STR, UNE, SFS, AFNOR, BIS, INSO, UNI, JISC, NEN, ASRO, BSI, SIS, SNV, TISI, TSE, SE UkrNDNC, GOST R, ANSI]","[1516, 1579, 1776, 1784, 1815, 1998, 2007, 2045, 2074, 2133]","[SASO, ABNT, ILNAS, MSZT, NSAI, NZSO, DGSM, PKN, SSC, UNMZ]","[53896, 46506, 52662, 6794475, 47056, 5396202, 656967, 45020, 284131, 45072, 45306, 45342, 55204, 54018, 45144]","[ISO/TC 176/SC 2, ISO/TC 20/SC 1, ISO/TC 145, ISO/IEC JTC 1/SC 42, ISO/TC 23/SC 6, ISO/TC 20/SC 17, ISO/TC 268/SC 1, ISO/IEC JTC 1, null, ISO/IEC JTC 1/SC 6, ISO/IEC JTC 1/SC 27, ISO/IEC JTC 1/SC 32, null, ISO/TC 180, ISO/IEC JTC 1/SC 17]","[8760, 8762, 9073, 9236, 9825, 11326, 637840, 4654024, 9577570]","[ACI, ASD-STAN, EUROCAE, ICAO, OGC, IEEE, SAE, EASA, RTCA]",ISO/TC 020/~SC 016
5396202,ISO/TC 20/SC 17,Active,Airport infrastructure,2188,ANSI,2014-10-13,"Standardization in the field of airside airport infrastructure, to include grooving of landing and take-off lanes; asphaltic-ecologic-paving; vertical-signaling with painting and electric-electronic boards (painted and lighted signage). <p>Scope excludes spaceports, which will be handled under ISO/TC 20/SC 14 and ground handling equipment (including fixed equipment such as passenger boarding bridges, docking guidance systems, etc.) which is under ISO/TC 20/SC 9. The scope also excludes air traffic facilities infrastructure and work under IEC/TC 97 (Electrical Installations for Lighting and Beaconing of Aerodromes).<P>The scope of SC 17 is intended to cover all infrastructure unique to the airport environment, but to exclude infrastructurecovered by other ISO and IEC committees, and also to exclude any infrastructure not unique to the airport environment.",46484,,"[1511, 1579, 1635, 1663, 1738, 1823, 1835, 2064, 2176, 2188]","[DIN, ABNT, SAC, KATS, AFNOR, UNI, JISC, BSI, GOST R, ANSI]","[1734, 1803, 1998, 2027, 2058, 2101, 2133]","[SFS, INSO, NZSO, NEN, ASRO, SIS, UNMZ]",[46564],[ISO/TC 20/SC 9],"[8760, 8762, 9073]","[ACI, ASD-STAN, EUROCAE]",ISO/TC 020/~SC 017
6207117,ISO/TC 20/SC 18,Active,Materials,1738,AFNOR,2016-07-04,"<p>Standardization of materials and related processes used by aircraft and engine manufacturers,</p><p>Attention for duplication, the following ISO/TC for materials exist: ISO/TC 35 Paints and varnishes, ISO/TC 17 Steel, ISO/TC 25 Cast irons and pig irons, ISO/TC 26 Copper and copper alloys, ISO/TC 45 Rubber and rubber products, ISO/TC 79 Light metals and their alloys, ISO/TC 155 Nickel and nickel alloys, ISO/TC 206 Fine ceramics, ISO/TC 61 Plastics.</p><p>Attention for duplication, the following ISO/TC for processes exist: ISO/TC 44/SC 14 Welding and brazing in aerospace, ISO/TC 107 Metallic and other inorganic coatings, ISO/TC 156 Corrosion of metals and alloys, ISO/TC 244 Industrial furnaces and associated processing equipment, ISO/TC 261 Additive manufacturing.</p>",46484,,"[1511, 1579, 1635, 1738, 2064, 2176]","[DIN, ABNT, SAC, AFNOR, BSI, GOST R]","[1803, 1823, 1835, 2027, 2058, 2172]","[INSO, UNI, JISC, NEN, ASRO, SE UkrNDNC]","[53264, 50084, 47962, 51358, 47996, 49462]","[ISO/TC 156, ISO/TC 79, ISO/TC 35, ISO/TC 107, ISO/TC 35/SC 9, ISO/TC 61/SC 13]",[8762],[ASD-STAN],ISO/TC 020/~SC 018
46628,ISO/TC 21,Active,Equipment for fire protection and fire fighting,1663,KATS,1947-01-01,"Standardization in the field of all fire protection and fire fighting apparatus and equipment including extinguishing media as well as the personal equipment of the fire fighter, and related work on terminology, classification and symbols. <p>Approval of advisory documents relating to the general principles and application of equipment and apparatus for fire protection and fire fighting. </p><p>Excluded: </p><ul> <li>protective clothing dealt with by ISO / TC 94. </li></ul>",,"[46646,46656,46692,46700,314324,46676]","[1485, 1511, 1516, 1524, 1529, 1533, 1537, 1555, 1561, 1619, 1635, 1640, 1663, 1696, 1717, 1734, 1738, 1776, 1798, 1803, 1823, 1835, 1854, 2027, 2054, 2064, 2091, 2106, 2133, 2176, 2188, 308866]","[SABS, DIN, SASO, SA, ASI, BTMD, BSTI, BELST, NBN, SCC, SAC, CYS, KATS, DS, UNE, SFS, AFNOR, ILNAS, BSN, INSO, UNI, JISC, KEBS, NEN, IPQ, BSI, SLSI, SNV, UNMZ, GOST R, ANSI, UNBS]","[1499, 1520, 1579, 1597, 1603, 1644, 1680, 1684, 1721, 1759, 1770, 1784, 1788, 1794, 1815, 1819, 1911, 1965, 1998, 2007, 2017, 2041, 2045, 2058, 2101, 2110, 2120, 2139, 2158, 2168, 2172, 2182, 2199, 2209, 299538, 308878]","[IANOR, IRAM, ABNT, BDS, ISBIH, ICONTEC, HZN, NC, EVS, NQIS ELOT, ITCHKSAR, MSZT, IST, BIS, NSAI, SII, DSM, MASM, NZSO, DGSM, PSQCA, BPS, PKN, ASRO, SIS, UNMS SR, TBS, TISI, INNORPI, TSE, SE UkrNDNC, UNIT, STAMEQ, ISS, SIST, O'ZTTSA]","[45800, 50492, 52700, 49008, 46156, 50552]","[ISO/TC 8/SC 1, ISO/TC 92, ISO/TC 145/SC 3, ISO/TC 58, ISO/TC 11, ISO/TC 92/SC 4]","[9010, 9077]","[UNECE, EUROFEU]",ISO/TC 021
46646,ISO/TC 21/SC 2,Active,Manually transportable fire extinguishers,1663,KATS,1981-01-07,"<p>Standardization in the field of manually transportable fire extinguishers covering design, manufacture, performance and maintenance of fire extinguishers including handheld units up to 20 Kg and wheeled units up to 450 kg. SC 2 is also responsible for standardization for classes of fire.",46628,,"[1485, 1511, 1524, 1537, 1561, 1619, 1635, 1640, 1663, 1734, 1738, 1803, 1835, 2054, 2064, 2133, 2172, 2176, 2188]","[SABS, DIN, SA, BSTI, NBN, SCC, SAC, CYS, KATS, SFS, AFNOR, INSO, JISC, IPQ, BSI, UNMZ, SE UkrNDNC, GOST R, ANSI]","[1529, 1555, 1597, 1644, 1717, 1784, 1788, 1794, 1815, 1823, 1854, 1911, 1965, 2027, 2045, 2058, 2101, 2106, 2110]","[ASI, BELST, BDS, ICONTEC, UNE, MSZT, IST, BIS, NSAI, UNI, KEBS, DSM, MASM, NEN, PKN, ASRO, SIS, SNV, UNMS SR]","[49040, 48692, 46692]","[ISO/TC 58/SC 3, ISO/TC 45/SC 1, ISO/TC 21/SC 6]",[9077],[EUROFEU],ISO/TC 021/~SC 002
46656,ISO/TC 21/SC 3,Active,Fire detection and alarm systems,1524,SA,1980-01-31,"<p>Standardization in the field of fire detection and alarm systems, including equipment standards covering fire detection devices and audio/visual warning devices to provide emergency signaling to building occupants in the event of a fire emergency, as well as installation and servicing of fire detection and alarm systems</p>",46628,,"[1485, 1511, 1524, 1537, 1561, 1619, 1635, 1663, 1717, 1734, 1738, 1803, 1835, 1998, 2027, 2054, 2064, 2101, 2106, 2176, 2188]","[SABS, DIN, SA, BSTI, NBN, SCC, SAC, KATS, UNE, SFS, AFNOR, INSO, JISC, NZSO, NEN, IPQ, BSI, SIS, SNV, GOST R, ANSI]","[1529, 1555, 1579, 1784, 1788, 1794, 1815, 1819, 1823, 1911, 1965, 2045, 2058, 2110, 2133, 2172]","[ASI, BELST, ABNT, MSZT, IST, BIS, NSAI, SII, UNI, DSM, MASM, PKN, ASRO, UNMS SR, UNMZ, SE UkrNDNC]",[50552],[ISO/TC 92/SC 4],[9067],[EURALARM],ISO/TC 021/~SC 003
46676,ISO/TC 21/SC 5,Active,Fixed firefighting systems using water,2188,ANSI,1981-01-01,"<p>Standardization in the field of fixed firefighting systems using water, including equipment standards covering fire sprinklers, nozzles, valves, couplings, piping, system supports, system bracing, fittings, and other related system components.",46628,,"[1485, 1511, 1516, 1529, 1537, 1561, 1635, 1663, 1717, 1734, 1738, 1776, 1819, 1835, 1854, 1911, 2027, 2054, 2064, 2106, 2133, 2176, 2188]","[SABS, DIN, SASO, ASI, BSTI, NBN, SAC, KATS, UNE, SFS, AFNOR, ILNAS, SII, JISC, KEBS, DSM, NEN, IPQ, BSI, SNV, UNMZ, GOST R, ANSI]","[1524, 1555, 1597, 1619, 1784, 1788, 1794, 1803, 1815, 1823, 1965, 1998, 2045, 2058, 2101, 2110, 2172, 2209]","[SA, BELST, BDS, SCC, MSZT, IST, BIS, INSO, NSAI, UNI, MASM, NZSO, PKN, ASRO, SIS, UNMS SR, SE UkrNDNC, ISS]","[50552, 46656, 53156, 46692]","[ISO/TC 92/SC 4, ISO/TC 21/SC 3, ISO/TC 153, ISO/TC 21/SC 6]",,,ISO/TC 021/~SC 005
46692,ISO/TC 21/SC 6,Active,Foam and powder media and firefighting systems using foam and powder,1635,SAC,1980-12-08,"Standardization in the field of water-based fire extinguishing agents and powders, and firefighting systems using these agents",46628,,"[1485, 1511, 1516, 1524, 1537, 1561, 1619, 1635, 1663, 1717, 1734, 1738, 1823, 1835, 2027, 2054, 2064, 2133, 2176, 2188]","[SABS, DIN, SASO, SA, BSTI, NBN, SCC, SAC, KATS, UNE, SFS, AFNOR, UNI, JISC, NEN, IPQ, BSI, UNMZ, GOST R, ANSI]","[1529, 1555, 1597, 1776, 1784, 1788, 1794, 1803, 1815, 1911, 1965, 2045, 2058, 2101, 2106, 2110, 2172]","[ASI, BELST, BDS, ILNAS, MSZT, IST, BIS, INSO, NSAI, DSM, MASM, PKN, ASRO, SIS, SNV, UNMS SR, SE UkrNDNC]","[45800, 46676, 50552, 46646, 46700]","[ISO/TC 8/SC 1, ISO/TC 21/SC 5, ISO/TC 92/SC 4, ISO/TC 21/SC 2, ISO/TC 21/SC 8]",[9077],[EUROFEU],ISO/TC 021/~SC 006
46700,ISO/TC 21/SC 8,Active,Gaseous media and firefighting systems using gas,1524,SA,1996-06-18,"<p>Standardization in the field of gaseous fire extinguishing and inerting systems,aerosol fire extinguishing systems, and reduced oxygen fire prevention systems.This includes standardization covering the safety, specification and testing ofcomponents and systems; safety and testing of gaseous and aerosol media; andsafety, design, installation, commissioning, inspection, servicing, testing andmaintenance of these systems.",46628,,"[1485, 1511, 1524, 1529, 1537, 1561, 1619, 1635, 1640, 1663, 1717, 1734, 1738, 1823, 1835, 2027, 2054, 2064, 2106, 2133, 2176, 2188]","[SABS, DIN, SA, ASI, BSTI, NBN, SCC, SAC, CYS, KATS, UNE, SFS, AFNOR, UNI, JISC, NEN, IPQ, BSI, SNV, UNMZ, GOST R, ANSI]","[1555, 1597, 1759, 1784, 1794, 1803, 1965, 1998, 2058, 2091, 2101, 2172, 2209, 299538]","[BELST, BDS, NQIS ELOT, MSZT, BIS, INSO, MASM, NZSO, ASRO, SLSI, SIS, SE UkrNDNC, ISS, SIST]","[45800, 49008, 46646]","[ISO/TC 8/SC 1, ISO/TC 58, ISO/TC 21/SC 2]",,,ISO/TC 021/~SC 008
314324,ISO/TC 21/SC 11,Active,Smoke and heat control systems and components,1511,DIN,2002-06-10,"Standardization in the field of fixed fire fighting systems using products for smoke control, i.e, smoke barriers, natural smoke and heat exhaust ventilators, powered ventilators, pressure differential systems, smoke control dampers, smoke duct sections, control equipment and power supply. Moreover ISO/TC 21/SC 11 isresponsible for standardization in the field of the design and maintenance of smoke control systems for installation in buildings or other construction works.",46628,,"[1511, 1537, 1555, 1561, 1619, 1635, 1663, 1717, 1734, 1738, 1835, 2054, 2064, 2176]","[DIN, BSTI, BELST, NBN, SCC, SAC, KATS, UNE, SFS, AFNOR, JISC, IPQ, BSI, GOST R]","[1524, 1529, 1579, 1794, 1803, 1823, 1965, 2058, 2106, 2133, 2172]","[SA, ASI, ABNT, BIS, INSO, UNI, MASM, ASRO, SNV, UNMZ, SE UkrNDNC]",[50552],[ISO/TC 92/SC 4],,,ISO/TC 021/~SC 011
